tissue	tissue_color		metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	148	grey	precursors	grey	precursors	grey
adult	#fb9a99	149	grey	precursors	grey	precursors	grey
adult	#fb9a99	150	grey	precursors	grey	precursors	grey
adult	#fb9a99	151	grey	precursors	grey	precursors	grey
adult	#fb9a99	152	grey	precursors	grey	precursors	grey
adult	#fb9a99	153	grey	precursors	grey	precursors	grey
adult	#fb9a99	154	grey	precursors	grey	precursors	grey
adult	#fb9a99	155	grey	precursors	grey	precursors	grey
adult	#fb9a99	156	grey	precursors	grey	precursors	grey
adult	#fb9a99	157	grey	precursors	grey	precursors	grey
adult	#fb9a99	158	grey	precursors	grey	precursors	grey
adult	#fb9a99	159	grey	precursors	grey	precursors	grey
adult	#fb9a99	160	grey	precursors	grey	precursors	grey
adult	#fb9a99	161	grey	precursors	grey	precursors	grey
adult	#fb9a99	162	grey	precursors	grey	precursors	grey
adult	#fb9a99	163	grey	precursors	grey	precursors	grey
adult	#fb9a99	164	grey	precursors	grey	precursors	grey
adult	#fb9a99	165	grey	precursors	grey	precursors	grey
adult	#fb9a99	166	grey	precursors	grey	precursors	grey
adult	#fb9a99	167	grey	precursors	grey	precursors	grey
adult	#fb9a99	168	grey	precursors	grey	precursors	grey
adult	#fb9a99	169	grey	precursors	grey	precursors	grey
adult	#fb9a99	170	grey	precursors	grey	precursors	grey
adult	#fb9a99	171	grey	precursors	grey	precursors	grey
adult	#fb9a99	172	grey	precursors	grey	precursors	grey
adult	#fb9a99	173	grey	precursors	grey	precursors	grey
adult	#fb9a99	174	grey	precursors	grey	precursors	grey
adult	#fb9a99	175	grey	precursors	grey	precursors	grey
adult	#fb9a99	176	grey	precursors	grey	precursors	grey
adult	#fb9a99	177	grey	precursors	grey	precursors	grey
adult	#fb9a99	178	grey	precursors	grey	precursors	grey
adult	#fb9a99	179	grey	precursors	grey	precursors	grey
adult	#fb9a99	180	grey	precursors	grey	precursors	grey
adult	#fb9a99	181	grey	precursors	grey	precursors	grey
adult	#fb9a99	182	grey	precursors	grey	precursors	grey
adult	#fb9a99	183	grey	precursors	grey	precursors	grey
adult	#fb9a99	184	grey	precursors	grey	precursors	grey
adult	#fb9a99	185	grey	precursors	grey	precursors	grey
adult	#fb9a99	186	grey	precursors	grey	precursors	grey
adult	#fb9a99	187	grey	precursors	grey	precursors	grey
adult	#fb9a99	188	grey	precursors	grey	precursors	grey
adult	#fb9a99	189	grey	precursors	grey	precursors	grey
adult	#fb9a99	190	grey	precursors	grey	precursors	grey
adult	#fb9a99	191	grey	precursors	grey	precursors	grey
adult	#fb9a99	192	grey	precursors	grey	precursors	grey
adult	#fb9a99	193	grey	precursors	grey	precursors	grey
adult	#fb9a99	194	grey	precursors	grey	precursors	grey
adult	#fb9a99	195	grey	precursors	grey	precursors	grey
adult	#fb9a99	196	grey	precursors	grey	precursors	grey
adult	#fb9a99	197	grey	precursors	grey	precursors	grey
adult	#fb9a99	198	grey	precursors	grey	precursors	grey
adult	#fb9a99	199	grey	precursors	grey	precursors	grey
adult	#fb9a99	200	grey	precursors	grey	precursors	grey
adult	#fb9a99	201	grey	precursors	grey	precursors	grey
adult	#fb9a99	202	grey	precursors	grey	precursors	grey
adult	#fb9a99	203	grey	precursors	grey	precursors	grey
adult	#fb9a99	204	grey	precursors	grey	precursors	grey
adult	#fb9a99	205	grey	precursors	grey	precursors	grey
adult	#fb9a99	206	grey	precursors	grey	precursors	grey
adult	#fb9a99	207	grey	precursors	grey	precursors	grey
adult	#fb9a99	208	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	209	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	210	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	211	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	212	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	213	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	214	steelblue3	neuron1	steelblue3	neuron	skyblue
adult	#fb9a99	215	steelblue4	neuron2	steelblue4	neuron	skyblue
adult	#fb9a99	216	steelblue4	neuron2	steelblue4	neuron	skyblue
adult	#fb9a99	217	steelblue4	neuron2	steelblue4	neuron	skyblue
adult	#fb9a99	218	steelblue4	neuron2	steelblue4	neuron	skyblue
adult	#fb9a99	219	steelblue4	neuron2	steelblue4	neuron	skyblue
adult	#fb9a99	220	royalblue4	neuron3	royalblue4	neuron	skyblue
adult	#fb9a99	221	royalblue4	neuron3	royalblue4	neuron	skyblue
adult	#fb9a99	222	royalblue3	neuron4	royalblue3	neuron	skyblue
adult	#fb9a99	223	royalblue2	neuron5	royalblue2	neuron	skyblue
adult	#fb9a99	224	blue3	neuron6	blue3	neuron	skyblue
adult	#fb9a99	225	blue2	neuron7	blue2	neuron	skyblue
adult	#fb9a99	226	blue1	neuron8	blue1	neuron	skyblue
adult	#fb9a99	227	dodgerblue3	neuron9	dodgerblue3	neuron	skyblue
adult	#fb9a99	228	dodgerblue2	neuron10	dodgerblue2	neuron	skyblue
adult	#fb9a99	229	skyblue1	neuron11	skyblue1	neuron	skyblue
adult	#fb9a99	230	skyblue2	neuron12	skyblue2	neuron	skyblue
adult	#fb9a99	231	skyblue3	neuron13	skyblue3	neuron	skyblue
adult	#fb9a99	232	darkorange1	gland_secretory1	darkorange1	gland	orange1
adult	#fb9a99	233	darkorange1	gland_secretory1	darkorange1	gland	orange1
adult	#fb9a99	234	darkorange2	gland_secretory2	darkorange2	gland	orange1
