gene	cell_type	FC	Species	Lifestage
Nvec_NVE14948	neuron_unclass9	10.7776997940456	Nvec	Adult
Nvec_NVE1495	neuron_unk1	22.8547456628549	Nvec	Adult
Nvec_NVE15069	neuron_unclass10	12.2131003612741	Nvec	Adult
Nvec_NVE15194	neuron_unk11	9.3985984828829	Nvec	Adult
Nvec_NVE15377	neuron_unk4	10.716167915968	Nvec	Adult
Nvec_NVE15666	neuron_peptidergic2	55.938256206846	Nvec	Adult
Nvec_NVE15786	neuron_unk16	5.44808423486489	Nvec	Adult
Nvec_NVE16126	gland_secretory_U7	12.925459659469	Nvec	Adult
Nvec_NVE16355	neuron_insulin	36.339559997365	Nvec	Adult
Nvec_NVE16362	gland_secretory_8	16.3635783278805	Nvec	Adult
Nvec_NVE16820	neuron_unclass9	7.24890742647539	Nvec	Adult
Nvec_NVE17090	gland_secretory_U20	27.978907648058	Nvec	Adult
Nvec_NVE17138	gland_secretory_3	19.098981694444	Nvec	Adult
Nvec_NVE17294	neuron_unk3	10.2142654363011	Nvec	Adult
Nvec_NVE17328	neuron_lwamide	18.2601786466078	Nvec	Adult
Nvec_NVE1757	gastrodermis	11.4132984447343	Nvec	Adult
Nvec_NVE17842	epidermis	8.5383960130048	Nvec	Adult
Nvec_NVE17843	epidermis	12.9172266833914	Nvec	Adult
Nvec_NVE1804	neuron_unclass8	56.4480141825644	Nvec	Adult
Nvec_NVE1825	gland_secretory_U9	102.543758851231	Nvec	Adult
Nvec_NVE18448	neuron_unclass9	6.05643575650403	Nvec	Adult
Nvec_NVE18491	neuron_insulin	16.7022101377702	Nvec	Adult
Nvec_NVE18593	gland_secretory_2	5.59157583773283	Nvec	Adult
Nvec_NVE18617	precursors	3.52883093310728	Nvec	Adult
Nvec_NVE18622	precursors	3.9948098683649	Nvec	Adult
Nvec_NVE18642	neuron_unk11	7.93243239853514	Nvec	Adult
Nvec_NVE18913	neuron_unk4	9.79296070175495	Nvec	Adult
Nvec_NVE18959	cnidocyte_nematocytes	59.1559105675204	Nvec	Adult
Nvec_NVE19037	cnidocyte_spirocytes	55.6183540818192	Nvec	Adult
Nvec_NVE19039	cnidocyte_spirocytes	68.2440715448837	Nvec	Adult
Nvec_NVE19066	gland_secretory_U2	11.6254104386186	Nvec	Adult
Nvec_NVE19536	neuron_unclass7	18.8613869666912	Nvec	Adult
Nvec_NVE1970	neuron_unclass8	7.87557031461247	Nvec	Adult
Nvec_NVE20010	neuron_unclass10	68.6130264630237	Nvec	Adult
Nvec_NVE20522	gland_secretory_8	16.4999610599562	Nvec	Adult
Nvec_NVE20730	neuron_insulin	20.8770080949896	Nvec	Adult
Nvec_NVE20798	gland_secretory_6	13.9455400578257	Nvec	Adult
Nvec_NVE21195	gland_secretory_9	12.1679819329616	Nvec	Adult
Nvec_NVE21426	gland_secretory_1A	6.55815446114931	Nvec	Adult
Nvec_NVE2187	gland_secretory_U20	48.4424548693897	Nvec	Adult
Nvec_NVE2189	gland_secretory_U20	33.2788485508444	Nvec	Adult
Nvec_NVE21920	neuron_unk3	17.7839995527504	Nvec	Adult
Nvec_NVE21927	neuron_unk10	16.0786316075936	Nvec	Adult
Nvec_NVE22133	neuron_insulin	20.4825075262074	Nvec	Adult
Nvec_NVE22589	gland_secretory_U9	89.2202406408259	Nvec	Adult
Nvec_NVE22590	gland_secretory_U9	73.3611168582315	Nvec	Adult
Nvec_NVE22594	neuron_unclass8	8.15544920528398	Nvec	Adult
Nvec_NVE22902	gland_secretory_1B	20.334208209085	Nvec	Adult
Nvec_NVE23328	gland_secretory_3	74.8114726811567	Nvec	Adult
Nvec_NVE23433	neuron_unclass8	6.52588437568798	Nvec	Adult
Nvec_NVE23459	gland_secretory_U20	21.4603325830973	Nvec	Adult
Nvec_NVE23805	gland_secretory_U11	63.330984149936	Nvec	Adult
Nvec_NVE23859	neuron_peptidergic2	6.18578288428294	Nvec	Adult
Nvec_NVE23895	gland_secretory_9	20.7204397404351	Nvec	Adult
Nvec_NVE23913	gland_secretory_U4	25.2970055369755	Nvec	Adult
Nvec_NVE24173	gland_secretory_1B	205.771882081969	Nvec	Adult
Nvec_NVE24305	neuron_unclass10	52.7169000674541	Nvec	Adult
Nvec_NVE24306	neuron_peptidergic3	6.96387149568986	Nvec	Adult
Nvec_NVE24307	neuron_lwamide	4.75337418623246	Nvec	Adult
Nvec_NVE24308	neuron_peptidergic4	65.7891494619443	Nvec	Adult
Nvec_NVE244	neuron_peptidergic5	14.4115375491992	Nvec	Adult
Nvec_NVE24828	gland_secretory_3	22.0855274995797	Nvec	Adult
Nvec_NVE24980	neuron_unclass8	8.45599551042348	Nvec	Adult
Nvec_NVE25709	neuron_unclass15	38.1608742929277	Nvec	Adult
Nvec_NVE25813	neuron_peptidergic1	7.83728429218767	Nvec	Adult
Nvec_NVE25909	neuron_unclass9	5.21499702677987	Nvec	Adult
Nvec_NVE26011	gland_secretory_U14	9.39426279031483	Nvec	Adult
Nvec_NVE26012	gland_secretory_U14	10.6016776584323	Nvec	Adult
Nvec_NVE26013	neuron_unk3	10.9850225007389	Nvec	Adult
Nvec_NVE3113	epidermis	10.253201020352	Nvec	Adult
Nvec_NVE3351	precursors	3.46370648469223	Nvec	Adult
Nvec_NVE3534	gland_secretory_4	20.0545899745589	Nvec	Adult
Nvec_NVE3579	muscle_gastroderm_tentacle_bud_stage	13.501399818918	Nvec	Adult
Nvec_NVE3723	neuron_vasopressin	14.2198024473416	Nvec	Adult
Nvec_NVE3857	neuron_peptidergic3	13.5089642636095	Nvec	Adult
Nvec_NVE3858	neuron_unk12	9.92563219816178	Nvec	Adult
Nvec_NVE4012	neuron_unk16	30.5000045305048	Nvec	Adult
Nvec_NVE4021	precursors	3.38367383964792	Nvec	Adult
Nvec_NVE4226	cnidocyte_nematocytes	33.1776268888599	Nvec	Adult
Nvec_NVE423	neuron_peptidergic4	22.0778760188499	Nvec	Adult
Nvec_NVE4438	neuron_unclass3	10.0613177456899	Nvec	Adult
Nvec_NVE4451	gland_secretory_U1	11.0455296652553	Nvec	Adult
Nvec_NVE4486	gland_secretory_U20	29.5994143813152	Nvec	Adult
