"","gene","cell_type","FC","Species","Lifestage"
"200","Nvec_NVE1121","gland_secretory_9",18.2512682573717,"Nvec","Adult"
"201","Nvec_NVE11265","neuron_unclass10",10.7076878666166,"Nvec","Adult"
"202","Nvec_NVE11329","neuron_peptidergic2",6.86331220248478,"Nvec","Adult"
"203","Nvec_NVE12036","gland_secretory_U2",13.8229229445082,"Nvec","Adult"
"204","Nvec_NVE12179","gland_secretory_3",31.1815177272926,"Nvec","Adult"
"205","Nvec_NVE1257","neuron_insulin",30.7461828688729,"Nvec","Adult"
"206","Nvec_NVE12742","neuron_unclass7",39.3931334107306,"Nvec","Adult"
"207","Nvec_NVE1276","neuron_unk1",12.5949196598151,"Nvec","Adult"
"208","Nvec_NVE12918","neuron_peptidergic3",18.7388813775606,"Nvec","Adult"
"209","Nvec_NVE12939","muscle_X1",19.839683774829,"Nvec","Adult"
"210","Nvec_NVE13069","gland_secretory_3",36.0820184579647,"Nvec","Adult"
"211","Nvec_NVE13134","neuron_unk18",16.1639745308347,"Nvec","Adult"
"212","Nvec_NVE13147","neuron_unclass4",8.49743412859844,"Nvec","Adult"
"213","Nvec_NVE13189","neuron_unclass13",13.3186585524833,"Nvec","Adult"
"214","Nvec_NVE13292","gland_secretory_U14",22.3216708058588,"Nvec","Adult"
"215","Nvec_NVE13395","neuron_unk8",7.01219965785424,"Nvec","Adult"
"216","Nvec_NVE13598","gland_secretory_1A",15.4027589644068,"Nvec","Adult"
"217","Nvec_NVE13685","gland_secretory_U19",147.499783808872,"Nvec","Adult"
"218","Nvec_NVE13968","gland_secretory_U3",77.0019106254159,"Nvec","Adult"
"219","Nvec_NVE140","muscle_X1",20.9122239500997,"Nvec","Adult"
"220","Nvec_NVE14049","neuron_peptidergic2",7.21517463994378,"Nvec","Adult"
"221","Nvec_NVE14169","neuron_unk4",11.2854688753262,"Nvec","Adult"
"222","Nvec_NVE14269","neuron_peptidergic4",26.7114573584885,"Nvec","Adult"
"223","Nvec_NVE14435","gland_secretory_U19",19.8170748431426,"Nvec","Adult"
"224","Nvec_NVE1466","neuron_unk4",9.3557573731479,"Nvec","Adult"
"225","Nvec_NVE1494","neuron_unk1",20.3421790743305,"Nvec","Adult"
"226","Nvec_NVE14948","neuron_unclass9",10.7776997940456,"Nvec","Adult"
"227","Nvec_NVE1495","neuron_unk1",22.8547456628549,"Nvec","Adult"
"228","Nvec_NVE15069","neuron_unclass10",12.2131003612741,"Nvec","Adult"
"229","Nvec_NVE15194","neuron_unk11",9.3985984828829,"Nvec","Adult"
"230","Nvec_NVE15377","neuron_unk4",10.716167915968,"Nvec","Adult"
"231","Nvec_NVE15666","neuron_peptidergic2",55.938256206846,"Nvec","Adult"
"232","Nvec_NVE15786","neuron_unk16",5.44808423486489,"Nvec","Adult"
"233","Nvec_NVE16126","gland_secretory_U7",12.925459659469,"Nvec","Adult"
"234","Nvec_NVE16355","neuron_insulin",36.339559997365,"Nvec","Adult"
"235","Nvec_NVE16362","gland_secretory_8",16.3635783278805,"Nvec","Adult"
"236","Nvec_NVE16820","neuron_unclass9",7.24890742647539,"Nvec","Adult"
"237","Nvec_NVE17090","gland_secretory_U20",27.978907648058,"Nvec","Adult"
"238","Nvec_NVE17138","gland_secretory_3",19.098981694444,"Nvec","Adult"
"239","Nvec_NVE17294","neuron_unk3",10.2142654363011,"Nvec","Adult"
"240","Nvec_NVE17328","neuron_lwamide",18.2601786466078,"Nvec","Adult"
"241","Nvec_NVE1757","gastrodermis",11.4132984447343,"Nvec","Adult"
"242","Nvec_NVE17842","epidermis",8.5383960130048,"Nvec","Adult"
"243","Nvec_NVE17843","epidermis",12.9172266833914,"Nvec","Adult"
"244","Nvec_NVE1804","neuron_unclass8",56.4480141825644,"Nvec","Adult"
"245","Nvec_NVE1825","gland_secretory_U9",102.543758851231,"Nvec","Adult"
"246","Nvec_NVE18448","neuron_unclass9",6.05643575650403,"Nvec","Adult"
"247","Nvec_NVE18491","neuron_insulin",16.7022101377702,"Nvec","Adult"
"248","Nvec_NVE18593","gland_secretory_2",5.59157583773283,"Nvec","Adult"
"249","Nvec_NVE18617","precursors",3.52883093310728,"Nvec","Adult"
"250","Nvec_NVE18622","precursors",3.9948098683649,"Nvec","Adult"
"251","Nvec_NVE18642","neuron_unk11",7.93243239853514,"Nvec","Adult"
"252","Nvec_NVE18913","neuron_unk4",9.79296070175495,"Nvec","Adult"
"253","Nvec_NVE18959","cnidocyte_nematocytes",59.1559105675204,"Nvec","Adult"
"254","Nvec_NVE19037","cnidocyte_spirocytes",55.6183540818192,"Nvec","Adult"
"255","Nvec_NVE19039","cnidocyte_spirocytes",68.2440715448837,"Nvec","Adult"
"256","Nvec_NVE19066","gland_secretory_U2",11.6254104386186,"Nvec","Adult"
"257","Nvec_NVE19536","neuron_unclass7",18.8613869666912,"Nvec","Adult"
"258","Nvec_NVE1970","neuron_unclass8",7.87557031461247,"Nvec","Adult"
"259","Nvec_NVE20010","neuron_unclass10",68.6130264630237,"Nvec","Adult"
"260","Nvec_NVE20522","gland_secretory_8",16.4999610599562,"Nvec","Adult"
"261","Nvec_NVE20730","neuron_insulin",20.8770080949896,"Nvec","Adult"
"262","Nvec_NVE20798","gland_secretory_6",13.9455400578257,"Nvec","Adult"
"263","Nvec_NVE21195","gland_secretory_9",12.1679819329616,"Nvec","Adult"
"264","Nvec_NVE21426","gland_secretory_1A",6.55815446114931,"Nvec","Adult"
"265","Nvec_NVE2187","gland_secretory_U20",48.4424548693897,"Nvec","Adult"
"266","Nvec_NVE2189","gland_secretory_U20",33.2788485508444,"Nvec","Adult"
"267","Nvec_NVE21920","neuron_unk3",17.7839995527504,"Nvec","Adult"
"268","Nvec_NVE21927","neuron_unk10",16.0786316075936,"Nvec","Adult"
"269","Nvec_NVE22133","neuron_insulin",20.4825075262074,"Nvec","Adult"
"270","Nvec_NVE22589","gland_secretory_U9",89.2202406408259,"Nvec","Adult"
"271","Nvec_NVE22590","gland_secretory_U9",73.3611168582315,"Nvec","Adult"
"272","Nvec_NVE22594","neuron_unclass8",8.15544920528398,"Nvec","Adult"
"273","Nvec_NVE22902","gland_secretory_1B",20.334208209085,"Nvec","Adult"
"274","Nvec_NVE23328","gland_secretory_3",74.8114726811567,"Nvec","Adult"
"275","Nvec_NVE23433","neuron_unclass8",6.52588437568798,"Nvec","Adult"
"276","Nvec_NVE23459","gland_secretory_U20",21.4603325830973,"Nvec","Adult"
"277","Nvec_NVE23805","gland_secretory_U11",63.330984149936,"Nvec","Adult"
"278","Nvec_NVE23859","neuron_peptidergic2",6.18578288428294,"Nvec","Adult"
"279","Nvec_NVE23895","gland_secretory_9",20.7204397404351,"Nvec","Adult"
"280","Nvec_NVE23913","gland_secretory_U4",25.2970055369755,"Nvec","Adult"
"281","Nvec_NVE24173","gland_secretory_1B",205.771882081969,"Nvec","Adult"
"282","Nvec_NVE24305","neuron_unclass10",52.7169000674541,"Nvec","Adult"
"283","Nvec_NVE24306","neuron_peptidergic3",6.96387149568986,"Nvec","Adult"
"284","Nvec_NVE24307","neuron_lwamide",4.75337418623246,"Nvec","Adult"
"285","Nvec_NVE24308","neuron_peptidergic4",65.7891494619443,"Nvec","Adult"
"286","Nvec_NVE244","neuron_peptidergic5",14.4115375491992,"Nvec","Adult"
"287","Nvec_NVE24828","gland_secretory_3",22.0855274995797,"Nvec","Adult"
"288","Nvec_NVE24980","neuron_unclass8",8.45599551042348,"Nvec","Adult"
"289","Nvec_NVE25709","neuron_unclass15",38.1608742929277,"Nvec","Adult"
"290","Nvec_NVE25813","neuron_peptidergic1",7.83728429218767,"Nvec","Adult"
"291","Nvec_NVE25909","neuron_unclass9",5.21499702677987,"Nvec","Adult"
"292","Nvec_NVE26011","gland_secretory_U14",9.39426279031483,"Nvec","Adult"
"293","Nvec_NVE26012","gland_secretory_U14",10.6016776584323,"Nvec","Adult"
"294","Nvec_NVE26013","neuron_unk3",10.9850225007389,"Nvec","Adult"
"295","Nvec_NVE3113","epidermis",10.253201020352,"Nvec","Adult"
"296","Nvec_NVE3351","precursors",3.46370648469223,"Nvec","Adult"
"297","Nvec_NVE3534","gland_secretory_4",20.0545899745589,"Nvec","Adult"
"298","Nvec_NVE3579","muscle_gastroderm_tentacle_bud_stage",13.501399818918,"Nvec","Adult"
"299","Nvec_NVE3723","neuron_vasopressin",14.2198024473416,"Nvec","Adult"
"300","Nvec_NVE3857","neuron_peptidergic3",13.5089642636095,"Nvec","Adult"
"301","Nvec_NVE3858","neuron_unk12",9.92563219816178,"Nvec","Adult"
"302","Nvec_NVE4012","neuron_unk16",30.5000045305048,"Nvec","Adult"
"303","Nvec_NVE4021","precursors",3.38367383964792,"Nvec","Adult"
"304","Nvec_NVE4226","cnidocyte_nematocytes",33.1776268888599,"Nvec","Adult"
"305","Nvec_NVE423","neuron_peptidergic4",22.0778760188499,"Nvec","Adult"
"306","Nvec_NVE4438","neuron_unclass3",10.0613177456899,"Nvec","Adult"
"307","Nvec_NVE4451","gland_secretory_U1",11.0455296652553,"Nvec","Adult"
"308","Nvec_NVE4486","gland_secretory_U20",29.5994143813152,"Nvec","Adult"
"309","Nvec_NVE4602","gland_secretory_5",79.6536732842185,"Nvec","Adult"
"310","Nvec_NVE4603","gland_secretory_U1",138.546395932802,"Nvec","Adult"
"311","Nvec_NVE4605","gland_secretory_8",21.8960840636287,"Nvec","Adult"
"312","Nvec_NVE4634","gland_secretory_6",20.1550658234871,"Nvec","Adult"
"313","Nvec_NVE4782","neuron_unk13",13.022943407531,"Nvec","Adult"
"314","Nvec_NVE4805","neuron_unk15",8.16733009642173,"Nvec","Adult"
"315","Nvec_NVE5454","neuron_unk6",13.6168367652165,"Nvec","Adult"
"316","Nvec_NVE5901","gland_secretory_6",16.5586873109575,"Nvec","Adult"
"317","Nvec_NVE6208","neuron_unclass6",85.2389970204216,"Nvec","Adult"
"318","Nvec_NVE6406","gland_secretory_1B",72.963803866581,"Nvec","Adult"
"319","Nvec_NVE6636","gland_secretory_4",23.7665848073817,"Nvec","Adult"
"320","Nvec_NVE6890","precursors_neuronal",6.83638076545937,"Nvec","Adult"
"321","Nvec_NVE7175","neuron_insulin",12.906441044533,"Nvec","Adult"
"322","Nvec_NVE735","neuron_unclass2",18.5838885778674,"Nvec","Adult"
"323","Nvec_NVE7526","gland_secretory_U3",96.3230989781881,"Nvec","Adult"
"324","Nvec_NVE7724","epidermis",21.0623200617893,"Nvec","Adult"
"325","Nvec_NVE7750","neuron_unclass6",127.573178737332,"Nvec","Adult"
"326","Nvec_NVE7821","gastrodermis",8.89887887411492,"Nvec","Adult"
"327","Nvec_NVE7851","neuron_unclass6",32.7745057083434,"Nvec","Adult"
"328","Nvec_NVE7992","neuron_unclass10",15.5035469103438,"Nvec","Adult"
"329","Nvec_NVE8041","neuron_lwamide",4.79534744941875,"Nvec","Adult"
