new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.1679.m1	1	1	adult_neuron_13	adult_neuron	2.06045834408628
Galaxea_fascicularis_REEFv1___m1.701.m1	1	1	adult_germline_sperm	adult_germline	7.80729222139483
Galaxea_fascicularis_REEFv1___m1.1671.m1	1	1	adult_neuron_13	adult_neuron	2.35207041258998
Galaxea_fascicularis_REEFv1___m1.19784.m1	1	1	adult_neuron_10	adult_neuron	2.19891291635214
Galaxea_fascicularis_REEFv1___m1.17465.m1	1	1	adult_germline_sperm	adult_germline	3.90133332499418
Galaxea_fascicularis_REEFv1___m1.15597.m1	1	1	adult_gland_3_digestive	adult_gland	2.03791287305898
Galaxea_fascicularis_REEFv1___m1.8426.m1	1	1	adult_gastrodermis_musclelike	adult_gastrodermis	3.41493596593982
Galaxea_fascicularis_REEFv1___m1.8072.m1	1	1	adult_neuron_13	adult_neuron	2.58298868278915
Galaxea_fascicularis_REEFv1___m1.18926.m1	1	1	adult_neuron_13	adult_neuron	2.28941747630052
Galaxea_fascicularis_REEFv1___m1.4849.m1	1	1	adult_neuron_10	adult_neuron	2.1122830604274
Galaxea_fascicularis_REEFv1___m1.19979.m1	3	3	adult_immune_1	adult_immune	8.03553999995813
Galaxea_fascicularis_REEFv1___m1.19979.m1	3	3	adult_gland_9	adult_gland	2.19209905779518
Galaxea_fascicularis_REEFv1___m1.19979.m1	3	3	adult_calicoblast	adult_calicoblast	2.52629312360051
Galaxea_fascicularis_REEFv1___m1.1314.m1	3	3	adult_immune_1	adult_immune	2.17261789643814
Galaxea_fascicularis_REEFv1___m1.1314.m1	3	3	adult_gland_1	adult_gland	2.18509352970289
Galaxea_fascicularis_REEFv1___m1.1314.m1	3	3	adult_cnidocyte	adult_cnidocyte	2.26922090256874
Galaxea_fascicularis_REEFv1___m1.3027.m1	1	1	adult_neuron_2	adult_neuron	2.05137410525934
Galaxea_fascicularis_REEFv1___m1.10991.m1	1	1	adult_germline_sperm	adult_germline	2.91787236334252
Galaxea_fascicularis_REEFv1___m1.15232.m1	1	1	adult_germline_sperm	adult_germline	6.6514356031278
Galaxea_fascicularis_REEFv1___m1.1952.m1	1	1	adult_gland_6	adult_gland	2.16260570688052
Galaxea_fascicularis_REEFv1___m1.13718.m1	3	2	adult_neuron_11	adult_neuron	2.76016214623482
Galaxea_fascicularis_REEFv1___m1.13718.m1	3	2	adult_neuron_6	adult_neuron	2.57941270730442
Galaxea_fascicularis_REEFv1___m1.13718.m1	3	2	adult_germline_sperm	adult_germline	6.39114154935671
Galaxea_fascicularis_REEFv1___m1.3665.m1	1	1	adult_neuron_10	adult_neuron	2.28653388223659
