new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.17888.m1	1	1	adult_gland_5	adult_gland	2.64169758945099	0	0
Galaxea_fascicularis_REEFv1___m1.14190.m1	1	1	adult_neuron_10	adult_neuron	2.83160031426659	0	0
Galaxea_fascicularis_REEFv1___m1.15135.m1	1	1	adult_germline_sperm	adult_germline	2.86547497956644	0	0
Galaxea_fascicularis_REEFv1___m1.6734.m1	1	1	adult_germline_sperm	adult_germline	3.18574660825177	0	0
Galaxea_fascicularis_REEFv1___m1.4061.m1	1	1	adult_germline_sperm	adult_germline	2.87187265895054	0	0
Galaxea_fascicularis_REEFv1___m1.7235.m1	1	1	adult_neuron_13	adult_neuron	2.58549351684279	0	0
Galaxea_fascicularis_REEFv1___m1.9745.m1	1	1	adult_neuron_13	adult_neuron	2.56164980849201	0	0
Galaxea_fascicularis_REEFv1___m1.10049.m1	1	1	adult_gland_2	adult_gland	2.65416966478788	0	0
Galaxea_fascicularis_REEFv1___m1.15379.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.50793065198777	0	0
Galaxea_fascicularis_REEFv1___m1.15371.m1	1	1	adult_mitotic_host_cells	adult_mitotic	2.59248495509049	0	0
Galaxea_fascicularis_REEFv1___m1.17084.m1	1	1	adult_germline_sperm	adult_germline	5.03854367054471	0	0
Galaxea_fascicularis_REEFv1___m1.14513.m1	1	1	adult_germline_sperm	adult_germline	4.88935694669178	0	0
Galaxea_fascicularis_REEFv1___m1.2231.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.94616580285014	0	0
Galaxea_fascicularis_REEFv1___m1.19518.m1	1	1	adult_germline_sperm	adult_germline	3.68451885517535	0	0
Galaxea_fascicularis_REEFv1___m1.16434.m1	1	1	adult_neuron_10	adult_neuron	3.59390663973045	0	0
Galaxea_fascicularis_REEFv1___m1.20678.m1	1	1	adult_gland_2	adult_gland	2.5357392028053	0	0
Galaxea_fascicularis_REEFv1___m1.4180.m1	1	1	adult_neuron_10	adult_neuron	2.51066405538328	0	0
Galaxea_fascicularis_REEFv1___m1.5641.m1	1	1	adult_gland_2	adult_gland	2.58646145284441	0	0
Galaxea_fascicularis_REEFv1___m1.4989.m1	1	1	adult_germline_sperm	adult_germline	2.51178579098814	0	0
Galaxea_fascicularis_REEFv1___m1.16036.m1	1	1	adult_neuron_13	adult_neuron	2.95591613483638	0	0
Galaxea_fascicularis_REEFv1___m1.24.m1	1	1	adult_germline_sperm	adult_germline	9.62869116357275	0	0
Galaxea_fascicularis_REEFv1___m1.1576.m1	1	1	adult_neuron_12	adult_neuron	2.50403860291093	0	0
Galaxea_fascicularis_REEFv1___m1.7472.m1	1	1	adult_germline_sperm	adult_germline	3.26909079963549	0	0
Galaxea_fascicularis_REEFv1___m1.6459.m1	1	1	adult_neuron_13	adult_neuron	2.83236496200889	0	0
Galaxea_fascicularis_REEFv1___m1.17005.m1	1	1	adult_germline_sperm	adult_germline	2.79492668698563	0	0
Galaxea_fascicularis_REEFv1___m1.15137.m1	1	1	adult_germline_sperm	adult_germline	3.54799819347111	0	0
Galaxea_fascicularis_REEFv1___m1.3566.m1	1	1	adult_neuron_13	adult_neuron	2.50608276113582	0	0
Galaxea_fascicularis_REEFv1___m1.22429.m1	1	1	adult_cnidocyte	adult_cnidocyte	3.02029919082861	0	0
Galaxea_fascicularis_REEFv1___m1.6736.m1	1	1	adult_germline_sperm	adult_germline	2.78890685989406	0	0
