gene	cell_type	FC	Species	Lifestage
Spis_XP_022795842_1	immune	11.8149184105731	Spis	Adult
Spis_XP_022795855_1	immune	9.08833103497409	Spis	Adult
Spis_XP_022796495_1	digestive_filaments	4.59667752043637	Spis	Adult
Spis_XP_022796708_1	alga.hosting_cells	13.4464663276332	Spis	Adult
Spis_XP_022797242_1	digestive_filaments	9.47902870490193	Spis	Adult
Spis_XP_022797363_1	neuron	5.86171789337201	Spis	Adult
Spis_XP_022797422_1	cnidocyte	43.2336041064694	Spis	Adult
Spis_XP_022797425_1	cnidocyte	14.5253136550344	Spis	Adult
Spis_XP_022798226_1	germline	21.6375123849936	Spis	Adult
Spis_XP_022798424_1	epidermis	11.9939988352354	Spis	Adult
Spis_XP_022799082_1	calicoblast	12.1473232351648	Spis	Adult
Spis_XP_022799416_1	cnidocyte	15.1940872184973	Spis	Adult
Spis_XP_022799427_1	germline	224.927630218631	Spis	Adult
Spis_XP_022799527_1	digestive_filaments	5.65334793852869	Spis	Adult
Spis_XP_022799529_1	digestive_filaments	4.97589936896396	Spis	Adult
Spis_XP_022799949_1	gastrodermis	4.96570514809801	Spis	Adult
Spis_XP_022800008_1	neuron	6.62911030295146	Spis	Adult
Spis_XP_022801030_1	mitotic_host_cells	10.7741299032875	Spis	Adult
Spis_XP_022801045_1	immune	8.95328943619874	Spis	Adult
Spis_XP_022801064_1	immune	18.9089206762626	Spis	Adult
Spis_XP_022801333_1	calicoblast	13.3524619879698	Spis	Adult
Spis_XP_022801475_1	epidermis	5.44952624802134	Spis	Adult
Spis_XP_022801783_1	germline	46.0285274370832	Spis	Adult
Spis_XP_022802271_1	unknown	22.3037631218194	Spis	Adult
Spis_XP_022802936_1	immune	11.1184112428463	Spis	Adult
Spis_XP_022802946_1	immune	7.26992674399778	Spis	Adult
Spis_XP_022803036_1	gastrodermis	5.62603961933011	Spis	Adult
Spis_XP_022803038_1	gastrodermis	5.92758171378445	Spis	Adult
Spis_XP_022803401_1	germline	43.874892066537	Spis	Adult
Spis_XP_022803774_1	epidermis	4.9527082749307	Spis	Adult
Spis_XP_022803870_1	calicoblast	9.28785773262558	Spis	Adult
Spis_XP_022804025_1	mitotic_host_cells	7.24892011163605	Spis	Adult
Spis_XP_022804844_1	epidermis	4.71916331963996	Spis	Adult
Spis_XP_022805023_1	unknown	30.4995056731421	Spis	Adult
Spis_XP_022805721_1	gastrodermis	4.81852897973645	Spis	Adult
Spis_XP_022806141_1	alga.hosting_cells	8.11949379902333	Spis	Adult
Spis_XP_022806608_1	germline	45.4082693917122	Spis	Adult
Spis_XP_022806845_1	digestive_filaments	13.5402364469069	Spis	Adult
Spis_XP_022810190_1	unknown	20.9208720441317	Spis	Adult
orphan_peak_13429	unknown	39.4107088753993	Spis	Adult
orphan_peak_13713	calicoblast	10.7126614543219	Spis	Adult
orphan_peak_13714	calicoblast	12.925951434334	Spis	Adult
orphan_peak_14387	unknown	24.0707798904926	Spis	Adult
orphan_peak_14663	calicoblast	11.631271178742	Spis	Adult
orphan_peak_16904	mitotic_host_cells	7.43087725852718	Spis	Adult
orphan_peak_1959	digestive_filaments	4.90716345318605	Spis	Adult
orphan_peak_20874	unknown	79.8852226892772	Spis	Adult
orphan_peak_21324	germline	31.8645573833196	Spis	Adult
orphan_peak_3804	immune	7.65930398300283	Spis	Adult
orphan_peak_3939	alga.hosting_cells	12.1461677296464	Spis	Adult
orphan_peak_4652	gland	5.62783076950955	Spis	Adult
orphan_peak_5476	neuron	5.84321279525385	Spis	Adult
orphan_peak_5483	neuron	6.44310757401646	Spis	Adult
orphan_peak_703	gland	6.97514371245699	Spis	Adult
orphan_peak_7126	alga.hosting_cells	6.65847232970664	Spis	Adult
orphan_peak_7564	mitotic_host_cells	10.4576600556855	Spis	Adult
orphan_peak_881	germline	29.0034996686108	Spis	Adult
Xesp_000344	epidermis	15.8599683201431	Xesp	Adult
Xesp_000345	epidermis	16.6250034519192	Xesp	Adult
Xesp_000432	cnidocyte	145.067878656136	Xesp	Adult
Xesp_000459	digestive_filaments	12.5455320231652	Xesp	Adult
Xesp_000519	gastrodermis	18.152150152399	Xesp	Adult
Xesp_000857	alga.hosting_cells	30.406896003482	Xesp	Adult
Xesp_001208	cnidocyte	234.814613233641	Xesp	Adult
Xesp_001210	cnidocyte	105.77392541143	Xesp	Adult
Xesp_001362	gastrodermis	17.5015214168828	Xesp	Adult
Xesp_001796	precursors	11.069629776424	Xesp	Adult
Xesp_002591	alga.hosting_cells	59.2519974890164	Xesp	Adult
Xesp_002650	gland	8.87715853016434	Xesp	Adult
Xesp_002928	gastrodermis	22.0626211633738	Xesp	Adult
Xesp_003115	gastrodermis	18.6998835176009	Xesp	Adult
Xesp_003489	epidermis	14.3219887462366	Xesp	Adult
Xesp_003804	precursors	8.47257275805219	Xesp	Adult
Xesp_004451	alga.hosting_cells	25.4593169616481	Xesp	Adult
Xesp_004625	epidermis	18.2867805593693	Xesp	Adult
Xesp_004626	epidermis	14.3244029256562	Xesp	Adult
Xesp_004932	epidermis	15.839290232912	Xesp	Adult
Xesp_005999	gland	8.05156891186169	Xesp	Adult
Xesp_006272	gland	10.3974891674992	Xesp	Adult
Xesp_007182	neuron	14.5792517025833	Xesp	Adult
Xesp_007888	digestive_filaments	32.0378681998721	Xesp	Adult
Xesp_008467	cnidocyte	80.6260377245547	Xesp	Adult
Xesp_008520	cnidocyte	169.885924589066	Xesp	Adult
Xesp_008521	cnidocyte	68.5401324128984	Xesp	Adult
Xesp_008534	cnidocyte	66.9590023993015	Xesp	Adult
Xesp_008614	gland	8.52973427132079	Xesp	Adult
Xesp_008622	gastrodermis	18.5131844447592	Xesp	Adult
Xesp_008849	gland	7.79940048759608	Xesp	Adult
Xesp_009333	muscle	39.9793889301859	Xesp	Adult
Xesp_009415	gland	8.83535379881141	Xesp	Adult
Xesp_009450	digestive_filaments	13.4103455467412	Xesp	Adult
Xesp_009686	alga.hosting_cells	44.6913657826335	Xesp	Adult
Xesp_009691	alga.hosting_cells	52.3461903011652	Xesp	Adult
Xesp_009933	cnidocyte	53.2711298949868	Xesp	Adult
Xesp_010055	digestive_filaments	9.52185224655705	Xesp	Adult
Xesp_011474	neuron	16.2379200269941	Xesp	Adult
Xesp_011801	cnidocyte	72.184358806998	Xesp	Adult
Xesp_011874	muscle	37.091369119077	Xesp	Adult
