"","gene","cell_type","FC","Species","Lifestage"
"294","Xesp_008622","gastrodermis",18.5131844447592,"Xesp","Adult"
"295","Xesp_008849","gland",7.79940048759608,"Xesp","Adult"
"296","Xesp_009333","muscle",39.9793889301859,"Xesp","Adult"
"297","Xesp_009415","gland",8.83535379881141,"Xesp","Adult"
"298","Xesp_009450","digestive_filaments",13.4103455467412,"Xesp","Adult"
"299","Xesp_009686","alga.hosting_cells",44.6913657826335,"Xesp","Adult"
"300","Xesp_009691","alga.hosting_cells",52.3461903011652,"Xesp","Adult"
"301","Xesp_009933","cnidocyte",53.2711298949868,"Xesp","Adult"
"302","Xesp_010055","digestive_filaments",9.52185224655705,"Xesp","Adult"
"303","Xesp_011474","neuron",16.2379200269941,"Xesp","Adult"
"304","Xesp_011801","cnidocyte",72.184358806998,"Xesp","Adult"
"305","Xesp_011874","muscle",37.091369119077,"Xesp","Adult"
"306","Xesp_012319","muscle",125.162361231625,"Xesp","Adult"
"307","Xesp_012455","alga.hosting_cells",30.7132890055409,"Xesp","Adult"
"308","Xesp_012534","neuron",10.0537526226523,"Xesp","Adult"
"309","Xesp_012650","gastrodermis",20.9491639036487,"Xesp","Adult"
"310","Xesp_012680","gland",9.20001827366413,"Xesp","Adult"
"311","Xesp_012742","neuron",17.6931670039479,"Xesp","Adult"
"312","Xesp_013614","neuron",10.5657658933759,"Xesp","Adult"
"313","Xesp_013615","epidermis",23.7675019871435,"Xesp","Adult"
"314","Xesp_013753","precursors",11.2804315047955,"Xesp","Adult"
"315","Xesp_014108","alga.hosting_cells",28.5924482216061,"Xesp","Adult"
"316","Xesp_014296","gastrodermis",17.7447539440351,"Xesp","Adult"
"317","Xesp_014332","muscle",71.7502380330806,"Xesp","Adult"
"318","Xesp_014383","gastrodermis",20.3131867824804,"Xesp","Adult"
"319","Xesp_014448","gastrodermis",25.82576893116,"Xesp","Adult"
"320","Xesp_014471","precursors",9.43944669542655,"Xesp","Adult"
"321","Xesp_014743","neuron",16.72802153122,"Xesp","Adult"
"322","Xesp_014909","alga.hosting_cells",51.0210888016919,"Xesp","Adult"
"323","Xesp_015086","digestive_filaments",12.5608553292866,"Xesp","Adult"
"324","Xesp_015312","digestive_filaments",20.1625216623532,"Xesp","Adult"
"325","Xesp_015330","epidermis",19.018593544477,"Xesp","Adult"
"326","Xesp_015896","gastrodermis",20.8192591176221,"Xesp","Adult"
"327","Xesp_016506","muscle",50.8874406628942,"Xesp","Adult"
